id;type;loc_num;adresse;cp;commune;code_insee;longueur;largeur;lim_vitesse;sens;h_debut;h_fin;tonnage;geo_shape;geo_point_2d
92012025;LIVRAISON;DROIT;5 RUE HEYRAULT;92100;BOULOGNE BILLANCOURT;92012;10.0;0.0;50;UNIQUE;08:00;19:00;0.0;"{""coordinates"": [2.2399017498472906, 48.83185379190816], ""type"": ""Point""}";48.83185379190816,2.2399017498472906
92012035;LIVRAISON;DROIT;39 AVENUE JEAN-BAPTISTE CLEMENT;92100;BOULOGNE BILLANCOURT;92012;11.0;0.0;50;DOUBLE;08:00;19:00;0.0;"{""coordinates"": [2.2378795401491107, 48.846155282142114], ""type"": ""Point""}";48.846155282142114,2.2378795401491107
92012042;LIVRAISON;DROIT;41 AVENUE PIERRE GRENIER;92100;BOULOGNE BILLANCOURT;92012;11.0;0.0;50;DOUBLE;08:00;19:00;0.0;"{""coordinates"": [2.2517182513585614, 48.830360230516426], ""type"": ""Point""}";48.830360230516426,2.2517182513585614
92012051;LIVRAISON;DROIT;40 ROUTE DE LA REINE;92100;BOULOGNE BILLANCOURT;92012;20.0;0.0;50;DOUBLE;08:00;19:00;0.0;"{""coordinates"": [2.2458705351546904, 48.83927948090835], ""type"": ""Point""}";48.83927948090835,2.2458705351546904
92012052;LIVRAISON;DROIT;45 ROUTE DE LA REINE;92100;BOULOGNE BILLANCOURT;92012;10.0;0.0;50;DOUBLE;08:00;19:00;0.0;"{""coordinates"": [2.2458844092861043, 48.8390761230465], ""type"": ""Point""}";48.8390761230465,2.2458844092861043
92024046;LIVRAISON;DROIT;95 BOULEVARD JEAN JAURES;92110;CLICHY;92024;30.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3036265028532372, 48.90313307818771], ""type"": ""Point""}";48.90313307818771,2.3036265028532372
92024049;LIVRAISON;DROIT;3 RUE MEDERIC;92110;CLICHY;92024;9.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.30231104390331, 48.90347365819875], ""type"": ""Point""}";48.90347365819875,2.30231104390331
92024052;LIVRAISON;DROIT;19 RUE FERNAND PELLOUTIER;92110;CLICHY;92024;6.5;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3004524033973803, 48.90272283807439], ""type"": ""Point""}";48.90272283807439,2.3004524033973803
92024057;LIVRAISON;DROIT;2 RUE GESNOUIN;92110;CLICHY;92024;9.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2998141412347346, 48.90212899238202], ""type"": ""Point""}";48.90212899238202,2.2998141412347346
92024058;LIVRAISON;DROIT;5 RUE FERDINAND BUISSON;92110;CLICHY;92024;10.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3000284988643505, 48.90123903710245], ""type"": ""Point""}";48.90123903710245,2.3000284988643505
92024060;LIVRAISON;DROIT;37 RUE DE NEUILLY;92110;CLICHY;92024;12.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2992844095558542, 48.90062329363329], ""type"": ""Point""}";48.90062329363329,2.2992844095558542
92024066;LIVRAISON;DROIT;30 RUE CASTERES;92110;CLICHY;92024;10.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3013673225143774, 48.90098469554371], ""type"": ""Point""}";48.90098469554371,2.3013673225143774
92024068;LIVRAISON;DROIT;6 RUE CASTERES;92110;CLICHY;92024;20.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3033100727745723, 48.899114848878625], ""type"": ""Point""}";48.899114848878625,2.3033100727745723
92024074;LIVRAISON;DROIT;79 BOULEVARD JEAN JAURES;92110;CLICHY;92024;5.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3046403648679314, 48.90188892994123], ""type"": ""Point""}";48.90188892994123,2.3046403648679314
92024077;LIVRAISON;DROIT;14 RUE VICTOR MERIC;92110;CLICHY;92024;14.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3056639581807103, 48.90129276220904], ""type"": ""Point""}";48.90129276220904,2.3056639581807103
92012064;LIVRAISON;DROIT;44 RUE DE LA TOURELLE;92100;BOULOGNE BILLANCOURT;92012;10.0;0.0;50;UNIQUE;08:00;19:00;0.0;"{""coordinates"": [2.250692788235246, 48.84128100456044], ""type"": ""Point""}";48.84128100456044,2.250692788235246
92012073;LIVRAISON;DROIT;101 RUE DE PARIS;92100;BOULOGNE BILLANCOURT;92012;24.0;0.0;50;UNIQUE;08:00;19:00;0.0;"{""coordinates"": [2.23837834899102, 48.841461022256134], ""type"": ""Point""}";48.841461022256134,2.23837834899102
92012074;LIVRAISON;DROIT;131 RUE DE PARIS;92100;BOULOGNE BILLANCOURT;92012;11.0;0.0;50;DOUBLE;08:00;19:00;0.0;"{""coordinates"": [2.2336933252729607, 48.841470254670284], ""type"": ""Point""}";48.841470254670284,2.2336933252729607
92012076;LIVRAISON;DROIT;83 RUE DE SEVRES;92100;BOULOGNE BILLANCOURT;92012;9.5;0.0;50;DOUBLE;08:00;19:00;0.0;"{""coordinates"": [2.229199917718686, 48.83289845024656], ""type"": ""Point""}";48.83289845024656,2.229199917718686
92012077;LIVRAISON;DROIT;87 RUE DE SILLY;92100;BOULOGNE BILLANCOURT;92012;10.5;0.0;50;DOUBLE;08:00;19:00;0.0;"{""coordinates"": [2.2325001813073966, 48.835767447230815], ""type"": ""Point""}";48.835767447230815,2.2325001813073966
92012082;LIVRAISON;DROIT;1424 RUE DU VIEUX PONT DE SEVRES;92100;BOULOGNE BILLANCOURT;92012;44.0;0.0;50;UNIQUE;08:00;19:00;0.0;"{""coordinates"": [2.237435868244006, 48.829645365419225], ""type"": ""Point""}";48.829645365419225,2.237435868244006
92024004;LIVRAISON;DROIT;8 RUE PIERRE DAC;92110;CLICHY;92024;11.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3080122181870677, 48.910224733397264], ""type"": ""Point""}";48.910224733397264,2.3080122181870677
92024007;LIVRAISON;DROIT;132 RUE MARTRE;92110;CLICHY;92024;15.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3024185894472193, 48.907090186388025], ""type"": ""Point""}";48.907090186388025,2.3024185894472193
92024010;LIVRAISON;DROIT;141 BOULEVARD JEAN JAURES;92110;CLICHY;92024;8.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.300782555831725, 48.906642181932654], ""type"": ""Point""}";48.906642181932654,2.300782555831725
92024012;LIVRAISON;DROIT;5 RUE DU PORT;92110;CLICHY;92024;21.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2994029861302216, 48.90686769602095], ""type"": ""Point""}";48.90686769602095,2.2994029861302216
92024016;LIVRAISON;DROIT;30 RUE FERNAND PELOUTIER;92110;CLICHY;92024;10.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.299729823542856, 48.90390840273958], ""type"": ""Point""}";48.90390840273958,2.299729823542856
92024017;LIVRAISON;DROIT;41 RUE PIERRE BEREGOVOY;92110;CLICHY;92024;12.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3008900176016005, 48.9050367833615], ""type"": ""Point""}";48.9050367833615,2.3008900176016005
92024018;LIVRAISON;DROIT;21 RUE MEDERIC;92110;CLICHY;92024;5.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.300957741242594, 48.904689933344834], ""type"": ""Point""}";48.904689933344834,2.300957741242594
92024024;LIVRAISON;DROIT;113 BOULEVARD JEAN JAURES;92110;CLICHY;92024;11.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3024114413729375, 48.904634835177404], ""type"": ""Point""}";48.904634835177404,2.3024114413729375
92024027;LIVRAISON;DROIT;107 BOULEVARD JEAN JAURES;92110;CLICHY;92024;5.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.302826204162634, 48.90411436126414], ""type"": ""Point""}";48.90411436126414,2.302826204162634
92024037;LIVRAISON;DROIT;2 RUE CHARLES PARADINAS;92110;CLICHY;92024;5.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3071293042016587, 48.904916519430756], ""type"": ""Point""}";48.904916519430756,2.3071293042016587
92004009;LIVRAISON;DROIT;30 RUE DE CHANZY;92600;ASNIERES SUR SEINE;92004;20.0;0.0;50;UNIQUE;06:30;15:30;0.0;"{""coordinates"": [2.2740883848464755, 48.90854788305447], ""type"": ""Point""}";48.90854788305447,2.2740883848464755
92012008;LIVRAISON;DROIT;6 RUE MOLIERE;92100;BOULOGNE BILLANCOURT;92012;15.0;0.0;30;UNIQUE;08:00;19:00;0.0;"{""coordinates"": [2.2471583065510363, 48.82930378289995], ""type"": ""Point""}";48.82930378289995,2.2471583065510363
92012010;LIVRAISON;FACE;101 RUE DU POINT DU JOUR;92100;BOULOGNE BILLANCOURT;92012;15.0;0.0;50;UNIQUE;08:00;19:00;0.0;"{""coordinates"": [2.248330959941197, 48.829351563074276], ""type"": ""Point""}";48.829351563074276,2.248330959941197
92012021;FONDS;DROIT;217 BOULEVARD JEAN JAURES;92100;BOULOGNE BILLANCOURT;92012;0.0;0.0;50;DOUBLE;08:00;19:00;0.0;"{""coordinates"": [2.2444503533495137, 48.832189294623454], ""type"": ""Point""}";48.832189294623454,2.2444503533495137
92044132;LIVRAISON;DROIT;75 RUE VOLTAIRE;92300;LEVALLOIS PERRET;92044;10.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2882235210518846, 48.89366443527136], ""type"": ""Point""}";48.89366443527136,2.2882235210518846
92044134;LIVRAISON;DROIT;151 AVENUE DU PRESIDENT WILSON;92300;LEVALLOIS PERRET;92044;0.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.284275431453463, 48.89910493596866], ""type"": ""Point""}";48.89910493596866,2.284275431453463
92044139;LIVRAISON;DROIT;75 RUE CARNOT;92300;LEVALLOIS PERRET;92044;10.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2855752097183597, 48.89295648390061], ""type"": ""Point""}";48.89295648390061,2.2855752097183597
92044144;LIVRAISON;DROIT;118 RUE ANATOLE FRANCE;92300;LEVALLOIS PERRET;92044;0.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.2822071534738195, 48.895265414098205], ""type"": ""Point""}";48.895265414098205,2.2822071534738195
92024081;LIVRAISON;DROIT;77 RUE HENRI BARBUSSE;92110;CLICHY;92024;13.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3057478683117276, 48.89984915930961], ""type"": ""Point""}";48.89984915930961,2.3057478683117276
92024083;LIVRAISON;DROIT;26 RUE HENRI BARBUSSE;92110;CLICHY;92024;10.0;0.0;0;;00:00;00:00;0.0;"{""coordinates"": [2.3041651155622986, 48.89905442392046], ""type"": ""Point""}";48.89905442392046,2.3041651155622986
